Datatype: kernel_timings_CPU_n100
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
5707	6775	10252	14381	3785	3906	12284	46148	33950	38335	0
5190	6253	9527	13993	3490	3761	11862	44458	32452	37024	0
5032	5929	9323	14163	3493	3712	12800	43924	32571	37285	0
5158	5990	9509	13850	3434	3673	12580	44205	35484	58911	0
7724	8521	10216	14765	3938	3979	12961	45807	34486	39619	0
5411	6756	10118	14638	3723	4046	12659	46841	34543	39465	0
5268	5923	9257	13597	3406	3678	11595	43419	32280	38022	0
5439	6454	10015	14823	3708	3801	12570	46019	34604	39430	0
5077	5931	9285	13728	3412	3677	11733	43175	32102	36910	0
5001	5958	9229	13590	3577	3809	12927	43792	31954	37089	0
5129	5950	9350	13446	3440	3575	11750	43351	32172	36605	0
5032	5937	9923	14472	3807	3891	12844	46445	34494	39716	0
5378	6430	9750	13640	3491	3576	11749	43633	32093	37080	0
5075	5886	9408	13452	3566	3587	11678	45020	34380	39707	0
5426	6471	9894	14421	3725	3886	12537	44603	32300	36604	0
5093	5898	9234	13991	3459	3619	11838	43240	31961	38242	0
5423	6440	10022	14411	3674	3974	12481	46362	34304	39751	0
5424	5912	9229	13605	3464	3677	11596	43308	32082	36929	0
5434	6370	9627	13697	3506	3622	11582	43326	31998	36874	0
5069	5954	9238	13572	3443	3686	12523	44886	32662	37056	0
5070	5908	9215	13635	3411	3664	11707	43647	31794	36920	0
5063	5926	9380	14548	3607	3618	12080	43690	32429	37800	0
5255	6357	9654	14177	4019	3829	12965	43714	32499	38122	0
5080	6019	9503	13772	3459	3638	11960	44204	32581	39077	0
5075	6183	9299	13503	3405	3816	12998	55528	54551	40044	0
5525	6377	9823	14542	3812	3961	12764	46373	35209	40913	0
5473	6660	10222	14406	3761	3970	12806	45857	32296	36674	0
5007	5931	9212	13715	3421	3577	11837	46398	34320	39249	0
5401	6365	9855	14215	3685	3825	12129	44514	32985	37753	0
5000	5938	9083	13702	3423	3636	11533	43234	31983	36856	0
5106	5921	9219	14433	3776	3910	12640	46220	34267	39183	0
5451	6256	9497	14275	3902	3945	12803	44564	32902	37938	0
5187	6120	9557	13766	3493	3723	11830	45921	34151	39506	0
5447	6290	9814	14286	3805	3870	12571	44460	32952	37821	0
5217	6196	9659	13768	3399	3597	11560	43162	32269	36673	0
5005	5988	9239	13564	3451	3629	11678	43344	31914	37139	0
5063	5959	9298	13470	3435	3664	11574	43614	31794	36799	0
5058	5996	9157	13729	3414	3586	11573	43123	32206	36530	0
5032	5960	9183	13815	3567	3735	11734	43351	32193	37520	0
5005	5904	9207	13579	3431	3686	11593	43303	32371	38634	0
5575	6767	10543	14742	3761	3832	12523	46153	34128	39066	0
5185	6097	9579	13793	3543	3719	11871	44416	33298	36766	0
5065	5998	9337	14066	3439	3551	12102	44222	33076	38233	0
5274	6148	9534	14560	4143	3782	12580	46421	35759	60720	0
10064	6593	10341	15168	4019	4020	13099	48245	35858	40957	0
5449	6365	9714	14225	3772	3862	12428	45769	33075	37154	0
5173	5955	9276	13717	3412	3609	11619	43493	32163	37196	0
5025	6120	10077	14624	3818	3945	12370	46305	34378	39796	0
5435	6447	9726	13698	3447	3696	11827	44878	32328	37081	0
5068	6079	9156	13568	3504	3615	11696	43486	33795	39572	0
5460	6357	9930	14220	3782	3838	12556	46593	33336	38045	0
5171	6169	9550	14012	3586	3722	17282	46717	35330	38362	0
5554	6443	9446	13846	3506	3763	11896	44493	32997	38020	0
5217	6136	9501	13889	3569	3691	11860	45108	34452	40283	0
5493	6348	9850	14448	3752	3895	12503	43885	32355	36695	0
5016	5926	9193	13717	3370	3674	11627	43294	32213	37069	0
5026	6000	9385	13627	3576	3609	11711	43321	32054	36888	0
5065	6140	9354	13615	3444	3566	11710	43479	32068	36833	0
5017	5903	9211	13709	3512	3606	11689	43268	32360	36900	0
4995	6099	9278	13629	3387	3576	11607	43624	32077	37007	0
5035	5984	9377	13570	3424	3620	11716	43275	31985	37268	0
